theme,task,target,args,run_time
inference,BIFreading,pyAgrum,asia.bif,4.99725341796875e-05
inference,BIFreading,pyAgrum,alarm.bif,1.1920928955078126e-08
inference,BIFreading,pyAgrum,Mildew.bif,-4.99725341796875e-05
inference,BIFreading,pyAgrum,Diabetes.bif,-1.049041748046875e-06
